ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
1,"AND(AND(AND(AND(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> AND -> AND -> AND,8,12,4,0
2,"AND(AND(AND(OR(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> AND -> AND -> OR,8,12,4,1
3,"AND(AND(AND(XOR(A, B), C), D), E)","[0, 0, 1, 0, 1]",AND -> AND -> AND -> XOR,8.5,12.5,4,0
4,"AND(AND(AND(NAND(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> AND -> AND -> NAND,7.5,11.5,4,0
5,"AND(AND(AND(NOR(A, B), C), D), E)","[0, 1, 0, 1, 1]",AND -> AND -> AND -> NOR,7.5,11.5,4,0
6,"AND(AND(AND(XNOR(A, B), C), D), E)","[0, 1, 1, 0, 1]",AND -> AND -> AND -> XNOR,8.5,12.5,4,0
7,"AND(AND(AND(NOT(A), C), D), E)","[0, 0, 0, 0, 1]",AND -> AND -> AND -> NOT,7,10.5,4,0
8,"AND(AND(AND(BUFFER(A), C), D), E)","[1, 1, 1, 1, 1]",AND -> AND -> AND -> BUFFER,6.2,9.5,4,1
9,"AND(AND(OR(AND(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> AND -> OR -> AND,8,12,4,0
10,"AND(AND(OR(OR(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> AND -> OR -> OR,8,12,4,0
11,"AND(AND(OR(XOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> AND -> OR -> XOR,8.5,12.5,4,0
12,"AND(AND(OR(NAND(A, B), C), D), E)","[1, 0, 0, 0, 0]",AND -> AND -> OR -> NAND,7.5,11.5,4,0
13,"AND(AND(OR(NOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",AND -> AND -> OR -> NOR,7.5,11.5,4,0
14,"AND(AND(OR(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",AND -> AND -> OR -> XNOR,8.5,12.5,4,0
15,"AND(AND(OR(NOT(A), C), D), E)","[0, 1, 1, 0, 1]",AND -> AND -> OR -> NOT,7,10.5,4,0
16,"AND(AND(OR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 0]",AND -> AND -> OR -> BUFFER,6.2,9.5,4,0
17,"AND(AND(XOR(AND(A, B), C), D), E)","[0, 1, 0, 0, 0]",AND -> AND -> XOR -> AND,8.5,12.5,4,0
18,"AND(AND(XOR(OR(A, B), C), D), E)","[1, 1, 0, 1, 0]",AND -> AND -> XOR -> OR,8.5,12.5,4,0
19,"AND(AND(XOR(XOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> AND -> XOR -> XOR,9,13,4,0
20,"AND(AND(XOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 0]",AND -> AND -> XOR -> NAND,8,12,4,0
21,"AND(AND(XOR(NOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> AND -> XOR -> NOR,8,12,4,0
22,"AND(AND(XOR(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 0]",AND -> AND -> XOR -> XNOR,9,13,4,0
