ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
1,"AND(AND(B, AND(A, D)), C)","[1, 1, 1, 1]",AND -> AND -> AND,6,9,3,1
2,"AND(AND(B, OR(A, D)), C)","[1, 1, 0, 1]",AND -> AND -> OR,6,9,3,0
3,"AND(AND(B, NOT(A)), C)","[0, 0, 1, 1]",AND -> AND -> NOT,5,7.5,3,0
4,"AND(AND(B, BUFFER(A)), C)","[1, 0, 0, 1]",AND -> AND -> BUFFER,4.2,6.5,3,0
5,"AND(AND(B, NAND(A, D)), C)","[1, 1, 1, 0]",AND -> AND -> NAND,5.5,8.5,3,1
6,"AND(AND(B, NOR(A, D)), C)","[1, 0, 0, 1]",AND -> AND -> NOR,5.5,8.5,3,0
7,"AND(AND(B, XOR(A, D)), C)","[0, 0, 1, 0]",AND -> AND -> XOR,6.5,9.5,3,0
8,"AND(AND(B, XNOR(A, D)), C)","[1, 1, 1, 1]",AND -> AND -> XNOR,6.5,9.5,3,1
9,"AND(OR(B, AND(A, D)), C)","[1, 1, 1, 0]",AND -> OR -> AND,6,9,3,1
10,"AND(OR(B, OR(A, D)), C)","[0, 0, 1, 1]",AND -> OR -> OR,6,9,3,1
11,"AND(OR(B, NOT(A)), C)","[0, 1, 0, 0]",AND -> OR -> NOT,5,7.5,3,0
12,"AND(OR(B, BUFFER(A)), C)","[0, 0, 0, 0]",AND -> OR -> BUFFER,4.2,6.5,3,0
13,"AND(OR(B, NAND(A, D)), C)","[1, 0, 1, 1]",AND -> OR -> NAND,5.5,8.5,3,0
14,"AND(OR(B, NOR(A, D)), C)","[0, 1, 1, 0]",AND -> OR -> NOR,5.5,8.5,3,1
15,"AND(OR(B, XOR(A, D)), C)","[0, 1, 0, 1]",AND -> OR -> XOR,6.5,9.5,3,0
16,"AND(OR(B, XNOR(A, D)), C)","[1, 1, 1, 0]",AND -> OR -> XNOR,6.5,9.5,3,1
17,"AND(NOT(AND(A, D)), C)","[0, 0, 1, 1]",AND -> NOT -> AND,5,7.5,3,1
18,"AND(NOT(OR(A, D)), C)","[0, 1, 0, 1]",AND -> NOT -> OR,5,7.5,3,0
19,"AND(NOT(NOT(A)), C)","[0, 0, 0, 0]",AND -> NOT -> NOT,4,6,3,0
20,"AND(NOT(BUFFER(A)), C)","[1, 0, 0, 0]",AND -> NOT -> BUFFER,3.2,5,3,0
21,"AND(NOT(NAND(A, D)), C)","[1, 0, 1, 0]",AND -> NOT -> NAND,4.5,7,3,1
22,"AND(NOT(NOR(A, D)), C)","[0, 0, 0, 0]",AND -> NOT -> NOR,4.5,7,3,0
23,"AND(NOT(XOR(A, D)), C)","[0, 0, 0, 1]",AND -> NOT -> XOR,5.5,8,3,0
24,"AND(NOT(XNOR(A, D)), C)","[1, 1, 1, 0]",AND -> NOT -> XNOR,5.5,8,3,0
25,"AND(BUFFER(AND(A, D)), C)","[1, 0, 0, 1]",AND -> BUFFER -> AND,4.2,6.5,3,0
26,"AND(BUFFER(OR(A, D)), C)","[0, 1, 0, 1]",AND -> BUFFER -> OR,4.2,6.5,3,0
27,"AND(BUFFER(NOT(A)), C)","[1, 0, 0, 0]",AND -> BUFFER -> NOT,3.2,5,3,0
28,"AND(BUFFER(BUFFER(A)), C)","[0, 1, 1, 1]",AND -> BUFFER -> BUFFER,2.4,4,3,1
29,"AND(BUFFER(NAND(A, D)), C)","[0, 0, 1, 0]",AND -> BUFFER -> NAND,3.7,6,3,0
